,height_x,weight_x,collegeName,Full Name,Team,Position,yearsPro,overall_rating,teamId,nflId,age
0,6-4,225,Michigan,Tom Brady,Buccaneers,QB,22.0,97.0,6.0,25511,45.0
2,6-2,225,California,Aaron Rodgers,Packers,QB,17.0,96.0,20.0,29851,38.0
3,6-6,267,UCLA,Marcedes Lewis,Packers,TE,16.0,78.0,20.0,30842,38.0
4,6-4,217,Boston College,Matt Ryan,Colts,QB,14.0,81.0,10.0,33084,37.0
5,6-6,245,Delaware,Joe Flacco,Jets,QB,14.0,66.0,18.0,33099,37.0
8,6-8,300,Miami,Calais Campbell,Ravens,RE,14.0,87.0,25.0,33131,36.0
9,6-3,222,Michigan,Chad Henne,Chiefs,QB,14.0,61.0,9.0,33138,37.0
10,6-3,220,Georgia,Matthew Stafford,Rams,QB,13.0,85.0,24.0,34452,34.0
11,6-0,229,Missouri,Chase Daniel,Chargers,QB,13.0,61.0,8.0,34754,35.0
12,6-2,215,Michigan State,Brian Hoyer,Patriots,QB,13.0,61.0,22.0,34843,36.0
13,6-5,320,Oklahoma,Trent Williams,49ers,LT,12.0,99.0,15.0,35443,34.0
14,6-3,304,California,Tyson Alualu,Steelers,DT,12.0,82.0,29.0,35449,35.0
15,6-2,265,Michigan,Brandon Graham,Eagles,LE,12.0,80.0,13.0,35452,34.0
17,5-10,185,Alabama,Kareem Jackson,Broncos,SS,11.0,81.0,4.0,35459,34.0
18,5-10,195,Rutgers,Devin McCourty,Patriots,FS,12.0,87.0,22.0,35466,35.0
23,6-4,330,Louisiana State,Al Woods,Seahawks,DT,12.0,78.0,28.0,35562,35.0
25,6-3,250,Texas A&amp;M,Von Miller,Bills,RE,11.0,92.0,3.0,37075,33.0
26,6-4,210,Georgia,A.J. Green,Cardinals,WR,11.0,80.0,7.0,37077,34.0
27,6-4,210,Georgia,A.J. Green,Browns,CB,2.0,68.0,5.0,37077,24.0
28,6-1,203,Louisiana State,Patrick Peterson,Vikings,CB,11.0,78.0,31.0,37078,32.0
30,6-5,288,Wisconsin,J.J. Watt,Cardinals,LE,11.0,87.0,7.0,37084,33.0
31,6-4,257,North Carolina,Robert Quinn,Bears,RE,11.0,83.0,1.0,37087,32.0
32,6-4,287,California,Cameron Jordan,Saints,LE,11.0,91.0,27.0,37097,33.0
34,6-5,295,Ohio State,Cameron Heyward,Steelers,RE,11.0,93.0,29.0,37104,33.0
